City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
mount isa,-20.7333,139.5,98.6,25,79,6.91,AU,1612055033
punta arenas,-53.15,-70.9167,51.8,62,0,26.46,CL,1612054652
puerto ayora,-0.7393,-90.3518,78.01,89,49,5.99,EC,1612055034
hilo,19.7297,-155.09,80.6,57,75,8.05,US,1612055034
esperance,-33.8667,121.9,68.0,64,0,13.8,AU,1612055034
norman wells,65.282,-126.8329,-27.4,68,40,3.44,CA,1612054992
bunia,1.5667,30.25,69.73,50,100,2.64,CD,1612055034
yuanping,38.7153,112.7575,29.28,78,0,0.22,CN,1612055034
ushuaia,-54.8,-68.3,50.0,66,20,24.16,AR,1612054979
bredasdorp,-34.5322,20.0403,64.99,86,0,6.22,ZA,1612055035
tiksi,71.6872,128.8694,-27.49,86,100,4.68,RU,1612054995
albany,42.6001,-73.9662,17.01,59,1,7.65,US,1612054376
cherskiy,68.75,161.3,-35.3,83,0,0.96,RU,1612055036
amapa,1.0,-52.0,72.21,98,56,1.99,BR,1612055036
barrow,71.2906,-156.7887,-14.8,70,90,4.61,US,1612055036
cape town,-33.9258,18.4232,71.01,77,75,5.75,ZA,1612054985
impfondo,1.6381,18.0667,73.31,89,56,3.65,CG,1612055036
misratah,32.3754,15.0925,63.99,51,0,12.06,LY,1612055037
sao filipe,14.8961,-24.4956,74.12,61,100,9.13,CV,1612054751
new norfolk,-42.7826,147.0587,75.99,25,6,5.01,AU,1612054820
nikolskoye,59.7035,30.7861,25.0,93,75,6.71,RU,1612054466
chokurdakh,70.6333,147.9167,-29.6,85,0,8.3,RU,1612055037
port hardy,50.6996,-127.4199,46.4,81,90,23.02,CA,1612054800
high level,58.5169,-117.136,-0.4,85,20,2.3,CA,1612055038
san pedro,14.35,121.0167,81.0,61,40,2.3,PH,1612055038
rikitea,-23.1203,-134.9692,79.57,70,0,10.74,PF,1612054977
nanortalik,60.1432,-45.2371,29.19,90,100,11.03,GL,1612054881
tuktoyaktuk,69.4541,-133.0374,-34.6,67,40,3.44,CA,1612054954
kalangala,-0.3089,32.225,69.8,88,20,3.44,UG,1612055039
chuy,-33.6971,-53.4616,71.06,89,100,11.1,UY,1612055033
richards bay,-28.783,32.0377,73.69,95,88,4.23,ZA,1612055039
novomykolayivka,47.9781,35.9102,40.42,88,100,14.65,UA,1612055039
avarua,-21.2078,-159.775,82.4,74,75,6.91,CK,1612054975
okhotsk,59.3833,143.3,-9.11,80,0,18.03,RU,1612055040
kahului,20.8947,-156.47,78.8,57,40,18.41,US,1612054783
severo-kurilsk,50.6789,156.125,25.18,95,100,28.63,RU,1612055040
tashtyp,52.7939,89.8983,-15.57,86,100,2.73,RU,1612055041
hobart,-42.8794,147.3294,75.99,40,40,10.36,AU,1612055041
hami,42.8,93.45,20.75,85,0,5.01,CN,1612054982
bambous virieux,-20.3428,57.7575,78.8,83,40,8.05,MU,1612055003
coahuayana,18.7333,-103.6833,78.8,65,1,9.22,MX,1612055041
clyde river,70.4692,-68.5914,-9.4,84,90,5.75,CA,1612054974
ponta do sol,32.6667,-17.1,59.0,74,45,3.0,PT,1612055008
yarkovo,57.4028,67.0786,14.13,96,99,6.42,RU,1612055042
kamaishi,39.2667,141.8833,28.4,64,75,3.44,JP,1612055042
leningradskiy,69.3833,178.4167,-26.9,82,0,3.91,RU,1612055004
havoysund,70.9963,24.6622,26.6,80,40,9.22,NO,1612055043
longyearbyen,78.2186,15.6401,-5.8,65,20,19.57,SJ,1612054988
honiara,-9.4333,159.95,81.57,82,100,8.03,SB,1612055044
klaksvik,62.2266,-6.589,32.0,69,40,26.46,FO,1612055044
mitsamiouli,-11.3847,43.2844,81.7,77,78,10.38,KM,1612055044
humberto de campos,-2.5983,-43.4611,77.74,85,100,5.37,BR,1612055045
grindavik,63.8424,-22.4338,21.2,73,0,6.91,IS,1612055045
atuona,-9.8,-139.0333,79.25,73,62,17.56,PF,1612054955
vaini,-21.2,-175.2,86.0,79,75,13.8,TO,1612054467
laguna,38.421,-121.4238,57.99,51,1,4.88,US,1612055045
charagua,-19.8,-63.2167,72.82,76,100,7.27,BO,1612055046
the pas,53.8251,-101.2541,15.8,86,90,2.3,CA,1612055038
sulangan,11.1373,123.7228,79.5,76,98,19.93,PH,1612055046
komsomolskiy,40.4272,71.7189,33.8,47,100,4.61,UZ,1612055027
qaanaaq,77.484,-69.3632,-5.6,74,98,3.36,GL,1612055046
saldanha,-33.0117,17.9442,63.63,92,0,1.63,ZA,1612054998
saint anthony,45.0205,-93.218,32.0,74,90,9.22,US,1612055019
kaeo,-35.1,173.7833,72.0,60,0,5.01,NZ,1612054847
quesnel,52.9999,-122.5029,24.8,80,40,6.17,CA,1612055047
pacific grove,36.6177,-121.9166,57.2,62,90,8.05,US,1612054820
cockburn town,21.4612,-71.1419,73.4,56,20,11.5,TC,1612054975
bluff,-46.6,168.3333,58.46,66,95,7.52,NZ,1612054996
jamestown,42.097,-79.2353,18.0,79,1,3.18,US,1612054997
miri,4.4148,114.0089,78.8,94,40,3.44,MY,1612054778
arraial do cabo,-22.9661,-42.0278,76.96,83,1,26.78,BR,1612054806
chimbote,-9.0853,-78.5783,70.57,77,96,7.38,PE,1612055048
shingu,33.7333,135.9833,48.2,66,40,13.8,JP,1612054759
igarka,67.4667,86.5833,-33.88,78,0,8.63,RU,1612055049
the valley,18.217,-63.0578,77.0,88,40,11.5,AI,1612055049
mahebourg,-20.4081,57.7,78.8,83,40,8.05,MU,1612054832
lagoa,39.05,-27.9833,61.9,94,100,25.64,PT,1612055049
busselton,-33.65,115.3333,80.01,52,0,8.48,AU,1612055050
mar del plata,-38.0023,-57.5575,62.01,63,75,18.41,AR,1612054830
korla,41.7597,86.1469,18.37,85,0,4.43,CN,1612055050
elk city,35.412,-99.4043,51.8,40,1,25.32,US,1612055050
victoria,22.2855,114.1577,64.0,62,0,16.17,HK,1612054940
yellowknife,62.456,-114.3525,-11.99,77,20,4.61,CA,1612055027
srednekolymsk,67.45,153.6833,-32.04,84,100,3.31,RU,1612055051
boa esperanca,-21.09,-45.5658,70.09,82,90,2.93,BR,1612054798
